Date,10yr Tbond,2yr Spread,Fedrate,% Change Payrolls,CPI,% Change 12M,Recession
1987-05-01,8.61,0.85,6.85,0.002256179863841,113.0,0.15942135,0.0
1987-06-01,8.4,0.83,6.73,0.0016907832651777,113.5,0.192212432,0.0
1987-07-01,8.45,1.01,6.58,0.003405299313052,113.8,0.299784587,0.0
1987-08-01,8.76,1.01,6.73,0.001691981182822,114.3,0.265373631,0.0
1987-09-01,9.42,1.08,7.22,0.0022163639914079,114.7,0.33022135199999997,0.0
1987-10-01,9.52,1.12,7.29,0.0047833838300194,115.0,0.031509141000000004,0.0
1987-11-01,8.86,1.17,6.69,0.0022688049021699,115.4,-0.078953225,0.0
1987-12-01,8.99,1.13,6.77,0.002795728050149,115.6,0.020072228,0.0
1988-01-01,8.67,1.04,6.83,0.0008875083203905,116.0,-0.064071539,0.0
1988-02-01,8.21,1.03,6.58,0.004443245014602,116.2,-0.059363119000000006,0.0
1988-03-01,8.37,1.1,6.58,0.0026388009288579,116.5,-0.119322599,0.0
1988-04-01,8.72,1.13,6.87,0.0023256036520591,117.2,-0.098425721,0.0
1988-05-01,9.09,1.09,7.09,0.00219608142688,117.5,-0.101270692,0.0
1988-06-01,8.92,0.89,7.51,0.0034679217240525,118.0,-0.10572608,0.0
1988-07-01,9.06,0.78,7.75,0.0021267303419858,118.5,-0.158249164,0.0
1988-08-01,9.26,0.63,8.01,0.0011747986736144,119.0,-0.231975653,0.0
1988-09-01,8.98,0.52,8.19,0.0032079792569601,119.5,-0.168552272,0.0
1988-10-01,8.8,0.45,8.3,0.0024808278230028,119.9,0.102508874,0.0
1988-11-01,8.96,0.29,8.35,0.0032086265949038,120.3,0.17264984,0.0
1988-12-01,9.11,0.02,8.76,0.0026356022022754,120.7,0.11690123699999999,0.0
1989-01-01,9.09,-0.09,9.12,0.0024602892476941,121.2,0.145964934,0.0
1989-02-01,9.17,-0.2,9.36,0.0024822463396198,121.6,0.075626951,0.0
1989-03-01,9.36,-0.32,9.85,0.0018058774795908,122.2,0.130131245,0.0
1989-04-01,9.18,-0.27,9.84,0.001579617360924,123.1,0.16962645399999998,0.0
1989-05-01,8.86,-0.16,9.81,0.0011318199107532,123.7,0.200989623,0.0
1989-06-01,8.28,-0.13,9.53,0.0010564065497206,124.1,0.15068689999999998,0.0
1989-07-01,8.02,0.2,9.24,0.00038879169096615,124.5,0.24079437199999998,0.0
1989-08-01,8.11,-0.03,8.99,0.00047192071731949,124.5,0.295556767,0.0
1989-09-01,8.19,-0.09,9.02,0.0023029966703663,124.8,0.250030468,0.0
1989-10-01,8.01,0.03,8.84,0.00098736723601768,125.4,0.198899584,0.0
1989-11-01,7.87,0.07,8.55,0.0025443416055164,125.9,0.234377184,0.0
1989-12-01,7.84,0.06,8.45,0.00077239958805355,126.3,0.240987127,0.0
1990-01-01,8.21,0.12,8.23,0.0033352934690727,127.5,0.10098746,0.0
1990-02-01,8.47,0.1,8.24,0.0021611919523073,128.0,0.138861544,0.0
1990-03-01,8.59,-0.04,8.28,0.0019098094759446,128.6,0.142234573,0.0
1990-04-01,8.79,0.07,8.26,0.00038305789646492,128.9,0.066103546,0.0
1990-05-01,8.76,0.12,8.18,0.0013948908703025,129.1,0.119570262,0.0
1990-06-01,8.48,0.13,8.29,0.00015477198444997,129.9,0.118600298,0.0
1990-07-01,8.47,0.31,8.15,-0.0002912904165453,130.5,0.028682048999999998,1.0
1990-08-01,8.75,0.69,8.13,-0.0018939393939394,131.6,-0.085778329,1.0
1990-09-01,8.89,0.81,8.2,-0.00089403006860312,132.5,-0.131753164,1.0
1990-10-01,8.72,0.84,8.11,-0.0013787687868661,133.4,-0.11297613599999999,1.0
1990-11-01,8.39,0.79,7.81,-0.0013989594667496,133.7,-0.071175299,1.0
1990-12-01,8.08,0.77,7.31,-0.00043950409288186,134.2,-0.067841441,1.0
1991-01-01,8.09,0.96,6.91,-0.001016800102596,134.7,0.044137285,1.0
1991-02-01,7.85,0.98,6.25,-0.0029434688918436,134.8,0.10074895099999999,1.0
1991-03-01,8.11,1.01,6.12,-0.001471480861552,134.8,0.098743386,1.0
1991-04-01,8.04,1.09,5.91,-0.0019341647171514,135.1,0.126318344,0.0
1991-05-01,8.07,1.29,5.78,-0.0010612380495367,135.6,0.076195808,0.0
1991-06-01,8.28,1.32,5.9,0.000785226653364,136.0,0.036044427000000004,0.0
1991-07-01,8.27,1.35,5.82,-0.00038768992190817,136.2,0.08516355,0.0
1991-08-01,7.9,1.47,5.66,0.0001662172644332,136.6,0.20368460300000002,0.0
1991-09-01,7.65,1.47,5.45,0.00024005170344382,137.0,0.23689596300000001,0.0
1991-10-01,7.53,1.62,5.21,0.00019384138236597,137.2,0.25538147,0.0
1991-11-01,7.42,1.86,4.81,-0.00056295393929326,137.8,0.152277978,0.0
1991-12-01,7.09,2.06,4.43,0.00029548644455936,138.2,0.233542914,0.0
1992-01-01,7.03,2.07,4.03,0.00037848017133151,138.3,0.17273898399999998,0.0
1992-02-01,7.34,2.13,4.06,-0.00053520840830865,138.6,0.117168381,0.0
1992-03-01,7.54,1.85,3.98,0.00049856431941354,139.1,0.073134738,0.0
1992-04-01,7.48,2.14,3.73,0.0014211230563374,139.4,0.100325789,0.0
1992-05-01,7.39,2.16,3.82,0.0011979469033073,139.7,0.06341083900000001,0.0
1992-06-01,7.26,2.21,3.76,0.00060746072214194,140.1,0.094977042,0.0
1992-07-01,6.84,2.48,3.25,0.00071747228993239,140.5,0.08971307099999999,0.0
1992-08-01,6.59,2.4,3.3,0.0012133133565579,140.8,0.04596467,0.0
1992-09-01,6.42,2.53,3.22,0.00031214138168465,141.1,0.074358409,0.0
1992-10-01,6.59,2.51,3.1,0.0016519975403592,141.7,0.064697717,0.0
1992-11-01,6.87,2.29,3.09,0.0012186294541823,142.1,0.139407316,0.0
1992-12-01,6.77,2.1,2.92,0.0020407789735705,142.3,0.043674847999999995,0.0
1993-01-01,6.6,2.21,3.02,0.0027307182976392,142.8,0.070821035,0.0
1993-02-01,6.26,2.16,3.03,0.0022769914567281,143.1,0.07170623599999999,0.0
1993-03-01,5.98,2.03,3.07,-0.00045436370906183,143.3,0.112304592,0.0
1993-04-01,5.97,2.13,2.96,0.0027456043056894,143.8,0.059048395999999996,0.0
1993-05-01,6.04,2.06,3.0,0.0024660912453761,144.2,0.080548168,0.0
1993-06-01,5.96,1.8,3.04,0.0016370016641343,144.3,0.098814376,0.0
1993-07-01,5.81,1.74,3.06,0.002763004632096,144.5,0.054854785999999996,0.0
1993-08-01,5.68,1.68,3.03,0.0013596866417541,144.8,0.11299739,0.0
1993-09-01,5.36,1.51,3.09,0.0021761415750949,145.0,0.093894857,0.0
1993-10-01,5.33,1.46,2.99,0.0025572464288278,145.6,0.11099806599999999,0.0
1993-11-01,5.72,1.56,3.02,0.0022464267494831,146.0,0.068190422,0.0
1993-12-01,5.77,1.56,2.96,0.0029468495499357,146.3,0.068173995,0.0
1994-01-01,5.75,1.61,3.05,0.0025019142760475,146.3,0.093136481,0.0
1994-02-01,5.97,1.5,3.25,0.00165193836316,146.7,0.052201829000000005,0.0
1994-03-01,6.48,1.48,3.34,0.0040875679414086,147.1,-0.013148753999999999,0.0
1994-04-01,6.97,1.42,3.56,0.0030377421804631,147.2,0.024061315,0.0
1994-05-01,7.18,1.21,4.01,0.0029493071329213,147.5,0.01391898,0.0
1994-06-01,7.1,1.17,4.25,0.0027826300682052,147.9,-0.013992204,0.0
1994-07-01,7.3,1.17,4.26,0.0032563595301038,148.4,0.02235335,0.0
1994-08-01,7.24,1.06,4.47,0.0024954192478841,149.0,0.025410007999999998,0.0
1994-09-01,7.46,1.07,4.73,0.0030549366383512,149.3,0.008202810999999999,0.0
1994-10-01,7.74,1.01,4.76,0.0018308502607443,149.4,0.009615295,0.0
1994-11-01,7.96,0.81,5.29,0.003559736007899,149.8,-0.017696112,0.0
1994-12-01,7.81,0.22,5.45,0.002554609084397,150.1,-0.015512611,0.0
1995-01-01,7.78,0.27,5.53,0.002892437481169,150.5,-0.023508686,0.0
1995-02-01,7.47,0.36,5.92,0.0016823889923692,150.9,0.042435624000000005,0.0
1995-03-01,7.2,0.42,5.98,0.0017995321216484,151.2,0.11622397400000001,0.0
1995-04-01,7.06,0.49,6.05,0.0013857168518566,151.8,0.132335906,0.0
1995-05-01,6.63,0.46,6.01,-0.00017083941948765,152.1,0.15568295699999998,0.0
1995-06-01,6.17,0.45,6.0,0.0020247930353954,152.4,0.203894513,0.0
1995-07-01,6.28,0.5,5.85,0.00080145967975718,152.6,0.204171872,0.0
1995-08-01,6.49,0.51,5.74,0.0021639120804226,152.9,0.166942483,0.0
1995-09-01,6.2,0.39,5.8,0.0020487274087424,153.1,0.233502257,0.0
1995-10-01,6.04,0.34,5.76,0.0013234358430541,153.5,0.207890723,0.0
1995-11-01,5.93,0.45,5.8,0.0012200184697241,153.7,0.288425683,0.0
1995-12-01,5.71,0.39,5.6,0.0012269938650307,153.9,0.293495061,0.0
1996-01-01,5.65,0.54,5.56,-3.3806626098715e-05,154.7,0.301604101,0.0
1996-02-01,5.81,0.78,5.22,0.0035751715744278,155.0,0.27307516,0.0
1996-03-01,6.27,0.61,5.31,0.0021391455208482,155.5,0.253998137,0.0
1996-04-01,6.51,0.55,5.22,0.0013866361886834,156.1,0.23976355300000002,0.0
1996-05-01,6.74,0.64,5.24,0.0027526477450108,156.4,0.226691752,0.0
1996-06-01,6.91,0.61,5.27,0.0023684783154512,156.7,0.207890603,0.0
1996-07-01,6.87,0.6,5.4,0.0020539538611828,157.0,0.129781465,0.0
1996-08-01,6.64,0.61,5.22,0.001533141690622,157.2,0.14874089599999998,0.0
1996-09-01,6.83,0.6,5.3,0.0017554222580887,157.7,0.162211806,0.0
1996-10-01,6.53,0.62,5.24,0.0021177643052903,158.2,0.192969765,0.0
1996-11-01,6.2,0.5,5.31,0.0024530725562508,158.7,0.22354986699999999,0.0
1996-12-01,6.3,0.52,5.29,0.0015046171906648,159.1,0.184516364,0.0
1997-01-01,6.58,0.57,5.25,0.0018160355942976,159.4,0.21193025899999998,0.0
1997-02-01,6.42,0.52,5.19,0.0025707999967041,159.7,0.210930576,0.0
1997-03-01,6.69,0.47,5.39,0.0025888637764537,159.8,0.159496544,0.0
1997-04-01,6.89,0.44,5.51,0.0024264283957701,159.9,0.20291813,0.0
1997-05-01,6.71,0.43,5.5,0.0021261632566279,159.9,0.237247395,0.0
1997-06-01,6.49,0.4,5.56,0.002186933886051,160.2,0.277528265,0.0
1997-07-01,6.22,0.33,5.52,0.0024182910743075,160.4,0.39959849700000005,0.0
1997-08-01,6.3,0.36,5.54,-0.00014620951823964,160.8,0.32177646,0.0
1997-09-01,6.21,0.33,5.54,0.0039969778947625,161.2,0.3207802,0.0
1997-10-01,6.03,0.26,5.5,0.0027835093255654,161.5,0.259927936,0.0
1997-11-01,5.88,0.17,5.52,0.0024691557262626,161.7,0.23274042600000003,0.0
1997-12-01,5.81,0.09,5.5,0.0025274681048014,161.8,0.270089592,0.0
1998-01-01,5.54,0.18,5.56,0.002111618720343,162.0,0.220677975,0.0
1998-02-01,5.57,0.15,5.51,0.0016344582251707,162.0,0.282846251,0.0
1998-03-01,5.65,0.09,5.49,0.0011838484673962,162.0,0.375133349,0.0
1998-04-01,5.64,0.08,5.45,0.002221085935253,162.2,0.327405269,0.0
1998-05-01,5.65,0.06,5.49,0.0032046682929162,162.6,0.251474132,0.0
1998-06-01,5.5,-0.02,5.56,0.0018435523346365,162.8,0.247619509,0.0
1998-07-01,5.46,0.0,5.54,0.0010231923601637,163.2,0.160693475,0.0
1998-08-01,5.34,0.07,5.55,0.0026861059387504,163.4,0.062290291,0.0
1998-09-01,4.81,0.14,5.51,0.0016436970539891,163.5,0.071027488,0.0
1998-10-01,4.53,0.44,5.07,0.0015936632163595,163.9,0.183347003,0.0
1998-11-01,4.83,0.29,4.83,0.0021818926540322,164.1,0.19716958699999998,0.0
1998-12-01,4.65,0.14,4.68,0.0028687976986741,164.4,0.236403955,0.0
1999-01-01,4.72,0.1,4.63,0.00083074704536192,164.7,0.266495804,0.0
1999-02-01,5.0,0.12,4.76,0.0032732455247373,164.7,0.165602299,0.0
1999-03-01,5.23,0.18,4.81,0.0008351545426163,164.8,0.15492447,0.0
1999-04-01,5.18,0.2,4.74,0.0028855077323809,165.9,0.18313080399999998,0.0
1999-05-01,5.54,0.29,4.74,0.0016407847772499,166.0,0.176848965,0.0
1999-06-01,5.9,0.28,4.76,0.0021815415191603,166.0,0.19117678800000001,0.0
1999-07-01,5.79,0.24,4.99,0.0025176428665494,166.7,0.170289291,0.0
1999-08-01,5.94,0.26,5.07,0.0011977065850681,167.1,0.321601639,0.0
1999-09-01,5.92,0.26,5.22,0.0015667327833046,167.8,0.232108037,0.0
1999-10-01,6.11,0.25,5.2,0.0031208581203958,168.1,0.21553643600000003,0.0
1999-11-01,6.03,0.17,5.42,0.0022200542338508,168.4,0.176974858,0.0
1999-12-01,6.28,0.18,5.3,0.0023454386583478,168.8,0.178364126,0.0
2000-01-01,6.66,0.22,5.45,0.0017817269751935,169.3,0.085928415,0.0
2000-02-01,6.52,-0.09,5.73,0.000908362276249,170.0,0.09843055099999999,0.0
2000-03-01,6.26,-0.27,5.85,0.0035996461364815,171.0,0.152693669,0.0
2000-04-01,5.99,-0.41,6.02,0.0022189124289492,170.9,0.08417189800000001,0.0
2000-05-01,6.44,-0.37,6.27,0.0016453354361276,171.2,0.087300678,0.0
2000-06-01,6.1,-0.38,6.53,-0.00033306839256652,172.2,0.057944072,0.0
2000-07-01,6.05,-0.29,6.54,0.0013251451980524,172.7,0.074038614,0.0
2000-08-01,5.83,-0.4,6.5,-4.5373423273541e-05,172.7,0.139240568,0.0
2000-09-01,5.8,-0.28,6.52,0.0009301973833472,173.6,0.113241571,0.0
2000-10-01,5.74,-0.17,6.51,-1.5111104395065e-05,173.9,0.047617959,0.0
2000-11-01,5.72,-0.16,6.51,0.0015489116062591,174.2,-0.054720687000000004,0.0
2000-12-01,5.24,-0.11,6.4,0.0011542291559794,174.6,-0.106908209,0.0
2001-01-01,5.16,0.4,5.98,-8.2888123638939e-05,175.6,-0.020613127,0.0
2001-02-01,5.1,0.44,5.49,0.00068576768300954,176.0,-0.097131269,0.0
2001-03-01,4.89,0.55,5.31,-0.00031629125906513,176.1,-0.255813554,1.0
2001-04-01,5.14,0.91,4.8,-0.0021394080468862,176.4,-0.150526626,1.0
2001-05-01,5.39,1.13,4.21,-0.00040011172931309,177.3,-0.123290598,1.0
2001-06-01,5.28,1.2,3.97,-0.00083830526395287,177.7,-0.172296335,1.0
2001-07-01,5.24,1.2,3.77,-0.00092215360660322,177.4,-0.166618309,1.0
2001-08-01,4.97,1.21,3.65,-0.0011272763037442,177.4,-0.291802161,1.0
2001-09-01,4.73,1.61,3.07,-0.0019465567909837,178.1,-0.322092473,1.0
2001-10-01,4.57,1.84,2.49,-0.0024056886568365,177.6,-0.29919342600000004,1.0
2001-11-01,4.65,1.87,2.09,-0.0023734538317586,177.5,-0.143252958,1.0
2001-12-01,5.09,1.98,1.82,-0.0012200515471779,177.4,-0.139752914,0.0
2002-01-01,5.04,2.01,1.73,-0.00099250278664244,177.7,-0.18949952399999997,0.0
2002-02-01,4.91,1.89,1.74,-0.00088649772261792,178.0,-0.11365324,0.0
2002-03-01,5.28,1.72,1.73,-0.00014533104883123,178.5,-0.011214598999999999,0.0
2002-04-01,5.21,1.79,1.75,-0.00071911075070572,179.3,-0.14860627099999998,0.0
2002-05-01,5.16,1.9,1.75,8.4211815683302e-05,179.5,-0.16280651599999998,0.0
2002-06-01,4.93,1.94,1.75,0.00038274874841159,179.6,-0.212666761,0.0
2002-07-01,4.65,2.09,1.73,-0.00071929233877139,180.0,-0.284168404,0.0
2002-08-01,4.26,2.13,1.74,-2.2972662531587e-05,180.5,-0.213043218,0.0
2002-09-01,3.87,1.87,1.75,-0.00065856478822547,180.8,-0.244347725,0.0
2002-10-01,3.94,2.03,1.75,0.0009731726193669,181.2,-0.17937060100000002,0.0
2002-11-01,4.05,2.13,1.34,-9.9519245491013e-05,181.5,-0.19635431,0.0
2002-12-01,4.03,2.19,1.24,-0.0010948206561268,181.8,-0.266128873,0.0
2003-01-01,4.05,2.31,1.24,0.00082776381139248,182.6,-0.278229982,0.0
