Date,Close,1 Month,3 Months,6 Months,12 Months
8/1/1933,11.09,0.10847125,0.140122693,0.672619909,0.279003281
9/1/1933,9.72,-0.131858183,-0.115494181,0.507743957,0.184793746
10/1/1933,8.96,-0.081415391,-0.104802324,0.134807717,0.252590753
11/1/1933,9.88,0.097742285,-0.11553129,0.024591403,0.411047462
12/1/1933,9.97,0.009068072,0.025394966,-0.090099216,0.365164814
1/1/1934,11.17,0.113651029,0.220461386,0.115659062,0.475929839
2/1/1934,10.76,-0.037396058,0.085323043,-0.030208247,0.642411663
3/1/1934,10.62,-0.013096539,0.063158432,0.088553397,0.596297355
4/1/1934,10.46,-0.015180557,-0.065673154,0.154788232,0.289595949
5/1/1934,9.61,-0.084754236,-0.113031332,-0.027708289,-0.003116886
6/1/1934,9.81,0.020598051,-0.079336742,-0.01617831,-0.106277526
7/1/1934,8.68,-0.122380745,-0.18653693,-0.252210084,-0.136551022
8/1/1934,9.15,0.052732351,-0.049050344,-0.162081675,-0.192289922
9/1/1934,9.08,-0.007679687,-0.077328081,-0.156664823,-0.068111426
10/1/1934,8.81,-0.030186753,0.014865911,-0.171671019,-0.016882787
11/1/1934,9.54,0.079606046,0.041739606,-0.007310738,-0.035019026
12/1/1934,9.5,-0.004201687,0.045217606,-0.032110475,-0.048288785
1/1/1935,9.1,-0.043017385,0.032386974,0.047252885,-0.2049572
2/1/1935,8.74,-0.040364224,-0.087583296,-0.04584369,-0.207925365
3/1/1935,8.45,-0.033743748,-0.117125357,-0.071907751,-0.228572574
4/1/1935,9.28,0.093695105,0.019587133,0.051974107,-0.119696912
5/1/1935,9.58,0.031816045,0.091767402,0.004184107,-0.003126631
6/1/1935,10.24,0.066624028,0.192135178,0.075009821,0.042899346
7/1/1935,11.08,0.078840062,0.177280135,0.196867268,0.244120153
8/1/1935,11.24,0.014337163,0.159801252,0.251568655,0.205724965
9/1/1935,11.59,0.030663813,0.123841038,0.315976216,0.244068465
10/1/1935,12.46,0.072380856,0.117381832,0.294661967,0.346636073
11/1/1935,12.94,0.037799776,0.140844445,0.300645697,0.304829804
